Date,Open,High,Low,Close,Volume,Adj Close
2015-04-10,149.40,150.03,148.62,149.64,1571600,149.64
2015-04-09,150.57,151.00,148.27,148.81,3398100,148.81
2015-04-08,152.23,152.67,151.19,152.00,1475800,152.00
2015-04-07,152.53,152.95,151.72,151.78,1391700,151.78
2015-04-06,151.37,152.84,150.60,152.50,1767600,152.50
2015-04-02,150.47,152.00,150.36,151.63,1095300,151.63
2015-04-01,151.83,151.87,149.70,150.24,1791100,150.24
2015-03-31,151.84,153.00,151.25,151.50,1884700,151.50
2015-03-30,150.91,152.59,150.80,152.37,1461400,152.37
2015-03-27,150.21,151.22,150.02,150.47,1320300,150.47
2015-03-26,149.32,150.77,149.17,150.06,1553400,150.06
2015-03-25,153.55,153.96,151.09,151.09,2092300,151.09
2015-03-24,152.95,154.23,152.89,153.14,1633500,153.14
2015-03-23,153.15,153.56,152.70,152.93,1665900,152.93
2015-03-20,152.13,153.15,151.75,152.59,5838100,152.59
2015-03-19,151.00,151.50,150.32,151.31,1859700,151.31
2015-03-18,150.00,151.63,148.25,150.93,2772500,150.93
2015-03-17,149.39,150.20,148.43,150.03,1972500,150.03
2015-03-16,149.72,151.00,149.28,149.99,2532700,149.99
2015-03-13,149.09,149.91,148.15,149.28,1470100,149.28
2015-03-12,148.38,149.64,147.40,149.44,1564000,149.44
2015-03-11,148.33,148.99,147.34,147.40,1734300,147.40
2015-03-10,149.75,150.15,148.15,148.16,2128100,148.16
2015-03-09,149.79,150.99,149.55,150.68,1727900,150.68
2015-03-06,149.29,150.15,148.17,149.54,3014900,149.54
2015-03-05,150.77,151.75,149.00,151.17,4471100,151.17
2015-03-04,147.84,147.98,145.78,147.17,2208600,147.17
2015-03-03,147.94,148.14,146.66,147.37,1514300,147.37
2015-03-02,147.32,148.49,147.32,147.94,2108600,147.94
2015-02-27,147.56,147.56,145.83,146.96,3036200,146.96
2015-02-26,147.07,147.61,146.20,146.65,1892600,146.65
2015-02-25,147.70,148.60,147.19,147.48,1602700,147.48
2015-02-24,149.38,149.40,148.00,148.21,1844200,148.21
2015-02-23,148.00,148.46,147.03,148.39,1587300,148.39
2015-02-20,146.67,147.79,145.90,147.54,1595600,147.54
2015-02-19,146.90,147.51,146.46,146.67,1273700,146.67
2015-02-18,147.16,147.48,146.53,147.23,1541000,147.23
2015-02-17,147.00,147.61,145.66,147.53,1541500,147.53
2015-02-13,148.23,148.80,146.94,147.10,1926800,147.10
2015-02-12,148.01,148.39,146.86,147.76,1712200,147.76
2015-02-11,148.39,148.48,146.55,147.46,2295800,147.46
2015-02-10,147.99,148.48,147.00,148.22,1703400,147.87
2015-02-09,148.70,149.16,146.82,147.54,2740200,147.19
2015-02-06,149.21,149.95,148.16,148.70,2909200,148.34
2015-02-05,149.50,151.10,147.52,149.09,6986700,148.73
2015-02-04,152.08,156.85,152.07,155.92,11006300,150.56
2015-02-03,146.36,153.89,144.77,153.75,10302900,148.46
2015-02-02,144.00,146.23,140.13,146.00,4797500,140.98
2015-01-30,143.09,143.80,141.34,142.99,5169000,138.07
2015-01-29,140.16,140.69,138.91,140.64,1873400,135.80
2015-01-28,141.60,142.45,139.56,139.62,2016300,134.82
2015-01-27,142.75,142.80,140.87,140.99,1786500,136.14
2015-01-26,141.66,143.05,141.57,142.91,1482800,138.00
2015-01-23,141.59,142.31,140.87,142.05,1696800,137.17
2015-01-22,139.50,141.28,138.39,141.27,1897500,136.41
2015-01-21,138.85,139.70,138.38,139.14,1682000,134.36
2015-01-20,140.72,141.27,138.36,139.38,1836100,134.59
2015-01-16,139.04,139.96,138.22,139.72,1784800,134.92
2015-01-15,139.95,140.17,138.62,139.31,1819600,134.52
2015-01-14,140.01,140.21,138.24,139.31,2207900,134.52
2015-01-13,142.20,144.41,140.39,141.09,2198500,136.24
2015-01-12,143.58,144.16,142.12,142.52,1340600,137.62
2015-01-09,144.48,145.05,143.22,143.32,1727000,138.39
2015-01-08,145.56,146.10,144.94,145.56,2937700,140.55
2015-01-07,142.60,144.43,142.36,144.32,2171600,139.36
2015-01-06,140.61,142.94,139.85,141.85,3185200,136.97
2015-01-05,141.69,142.16,139.80,140.00,1748500,135.19
2015-01-02,141.87,143.15,140.81,141.61,1471000,136.74
2014-12-31,143.49,144.13,141.69,141.75,1477900,136.88
2014-12-30,143.00,144.09,143.00,143.49,1158800,138.56
2014-12-29,143.35,143.85,142.74,143.34,1356400,138.41
2014-12-26,143.61,143.87,143.08,143.44,1226000,138.51
2014-12-24,144.56,144.87,143.60,143.65,738700,138.71
2014-12-23,144.53,144.97,143.67,144.15,1459700,139.19
2014-12-22,142.34,143.27,141.85,143.21,1776900,138.29
2014-12-19,141.50,142.50,141.33,141.77,4030000,136.90
2014-12-18,140.18,141.56,139.29,141.56,2903400,136.69
2014-12-17,137.31,139.62,136.78,139.33,2428500,134.54
2014-12-16,138.53,139.30,136.55,137.31,2470100,132.59
2014-12-15,138.65,139.50,137.06,138.19,2451200,133.44
2014-12-12,139.99,141.36,137.83,137.88,3663400,133.14
2014-12-11,141.09,142.68,140.67,141.41,2401300,136.55
2014-12-10,144.94,146.82,139.40,140.25,4910300,135.43
2014-12-09,142.13,143.13,140.88,143.04,2090300,138.12
2014-12-08,143.05,143.05,141.95,142.33,1945100,137.44
2014-12-05,143.18,143.31,141.96,143.25,1198000,138.32
2014-12-04,143.49,143.49,142.02,143.02,1315900,138.10
2014-12-03,142.98,143.30,141.98,142.69,1793900,137.78
2014-12-02,142.43,143.35,141.76,143.06,1764100,138.14
2014-12-01,143.32,143.32,141.27,141.98,1952100,137.10
2014-11-28,141.30,142.97,140.31,142.12,1442600,137.23
2014-11-26,139.50,140.88,139.04,139.75,1631900,134.94
2014-11-25,140.10,140.35,138.74,138.87,1865800,134.09
2014-11-24,139.33,139.99,139.19,139.80,1645800,134.99
2014-11-21,140.80,140.83,139.23,139.72,1849200,134.92
2014-11-20,139.06,140.01,139.02,139.25,1516900,134.46
2014-11-19,139.09,140.14,139.09,140.01,1362600,135.20
2014-11-18,138.48,139.34,138.04,139.21,1574600,134.42
2014-11-17,137.21,138.50,137.21,138.47,1228100,133.71
2014-11-14,138.93,138.93,138.07,138.48,1598600,133.72
2014-11-13,137.64,138.76,137.34,138.71,2235900,133.94
2014-11-12,136.70,137.35,136.15,136.90,1910200,132.19
2014-11-11,137.78,137.95,136.66,137.05,1495500,131.99
2014-11-10,137.85,137.89,135.98,137.69,1958000,132.61
2014-11-07,137.05,137.91,136.52,137.71,1589400,132.63
2014-11-06,137.39,137.67,136.60,137.09,1685900,132.03
2014-11-05,137.49,137.81,136.03,136.50,2116800,131.46
2014-11-04,134.61,136.72,133.99,136.55,2802500,131.51
2014-11-03,133.82,134.29,133.37,134.27,1947000,129.32
2014-10-31,134.45,134.50,132.71,133.37,2373900,128.45
2014-10-30,131.50,133.31,131.33,133.00,1302000,128.09
2014-10-29,131.29,132.00,130.93,131.93,1705800,127.06
2014-10-28,130.97,131.50,130.16,131.06,1439700,126.23
2014-10-27,129.24,131.26,129.24,130.92,1629600,126.09
2014-10-24,128.58,130.54,128.56,130.44,2490300,125.63
2014-10-23,131.03,131.48,130.35,130.59,1763600,125.77
2014-10-22,130.56,131.59,130.32,130.54,1880000,125.72
2014-10-21,128.94,130.65,128.17,130.28,2105600,125.47
2014-10-20,124.83,128.87,124.65,128.42,3499800,123.68
2014-10-17,123.77,125.75,123.18,124.65,3198900,120.05
2014-10-16,122.68,123.85,122.05,122.95,3542900,118.41
2014-10-15,125.10,125.70,123.28,124.30,3784300,119.71
2014-10-14,127.50,127.98,125.27,126.25,4003500,121.59
2014-10-13,128.57,128.85,126.89,126.97,2445200,122.29
2014-10-10,128.26,131.41,128.26,128.90,3353000,124.15
2014-10-09,128.22,130.74,128.19,128.41,2962700,123.67
2014-10-08,128.20,128.95,127.16,128.73,4262500,123.98
2014-10-07,125.35,125.83,124.75,125.27,2334100,120.65
2014-10-06,127.56,127.67,125.93,126.21,1907500,121.55
2014-10-03,126.20,127.65,126.01,127.09,1770300,122.40
2014-10-02,124.99,126.21,124.82,125.79,1545800,121.15
2014-10-01,125.25,125.68,124.45,124.76,1408700,120.16
2014-09-30,124.86,125.60,124.77,125.32,1665300,120.70
2014-09-29,125.03,125.60,124.78,125.32,1171000,120.70
2014-09-26,125.41,125.67,124.38,125.54,2045300,120.91
2014-09-25,127.45,127.55,125.60,125.66,1819900,121.02
2014-09-24,126.09,127.78,125.58,127.62,2076300,122.91
2014-09-23,125.96,125.99,125.21,125.51,1563100,120.88
2014-09-22,126.37,126.50,125.58,125.83,1453700,121.19
2014-09-19,127.29,127.29,126.47,126.50,3018500,121.83
2014-09-18,126.21,126.80,125.96,126.48,1401500,121.81
2014-09-17,126.03,126.56,125.67,126.01,1594000,121.36
2014-09-16,125.60,126.79,125.52,126.43,1684400,121.77
2014-09-15,125.57,126.53,125.45,125.71,1615300,121.07
2014-09-12,126.25,126.25,125.02,125.37,1598300,120.75
2014-09-11,126.16,126.53,125.64,125.94,1511200,121.29
2014-09-10,126.31,126.49,125.87,126.17,1014900,121.52
2014-09-09,126.14,126.49,125.74,126.11,1500500,121.46
2014-09-08,127.05,127.32,126.26,126.60,2057400,121.93
2014-09-05,125.04,127.03,124.71,127.01,2910600,122.32
2014-09-04,123.00,125.17,122.56,125.15,4440300,120.53
2014-09-03,121.70,121.94,121.11,121.35,1901000,116.87
2014-09-02,121.00,121.63,120.90,121.56,1469900,117.08
2014-08-29,121.68,121.68,120.58,121.08,1047300,116.61
2014-08-28,121.01,121.25,120.70,120.97,799400,116.51
2014-08-27,121.58,121.58,120.83,121.24,1028200,116.77
2014-08-26,121.43,121.59,120.86,121.09,1385400,116.62
2014-08-25,121.79,122.00,121.12,121.39,1097300,116.91
2014-08-22,121.90,122.06,121.15,121.29,1401400,116.82
2014-08-21,120.79,121.88,120.72,121.62,1544300,117.13
2014-08-20,120.45,121.23,120.09,120.91,1287200,116.45
2014-08-19,119.38,120.75,119.24,120.61,1708900,116.16
2014-08-18,119.00,119.68,118.95,119.46,1232900,115.05
2014-08-15,119.91,119.95,117.78,118.57,2019900,114.20
2014-08-14,118.51,119.27,118.31,119.26,1067900,114.86
2014-08-13,119.00,119.10,118.25,118.64,1458100,114.26
2014-08-12,118.77,119.27,118.55,119.01,1082100,114.62
2014-08-11,119.40,119.51,118.70,119.18,1227600,114.78
2014-08-08,117.96,119.40,117.81,119.16,2319900,114.76
2014-08-07,118.22,119.00,117.47,117.80,2698200,113.45
2014-08-06,117.95,119.97,117.80,119.59,2859800,115.18
2014-08-05,117.50,118.20,117.29,118.05,1798600,113.70
2014-08-04,117.55,118.38,117.11,118.15,1683800,113.79
2014-08-01,117.80,118.33,117.46,117.88,2089500,113.53
2014-07-31,117.54,118.34,117.28,117.54,2476800,113.20
2014-07-30,118.79,119.07,117.44,118.18,2024900,113.82
2014-07-29,118.93,119.60,118.53,118.90,2544900,114.51
2014-07-28,117.44,117.66,116.81,117.12,1402600,112.80
2014-07-25,117.96,118.03,117.07,117.55,1543700,113.21
2014-07-24,117.50,118.28,117.46,118.14,1347700,113.78
2014-07-23,117.41,117.76,117.27,117.59,1155200,113.25
2014-07-22,117.28,118.04,117.10,117.55,1769000,113.21
2014-07-21,117.43,117.91,116.86,117.04,1334400,112.72
2014-07-18,117.32,117.80,116.61,117.74,2148600,113.40
2014-07-17,117.35,117.54,116.58,116.79,1433300,112.48
2014-07-16,118.09,118.44,117.66,117.85,1531200,113.50
2014-07-15,118.16,118.25,117.18,117.82,2634200,113.47
2014-07-14,118.21,118.49,117.30,117.36,1695500,113.03
2014-07-11,118.13,118.25,117.09,118.01,1684700,113.66
2014-07-10,117.50,118.64,117.50,118.08,2266400,113.72
2014-07-09,117.21,117.99,117.11,117.92,2328100,113.57
2014-07-08,116.45,117.65,116.11,117.46,2584200,112.79
2014-07-07,116.33,116.49,115.88,116.32,1576900,111.69
2014-07-03,115.86,116.59,115.80,116.35,976000,111.72
2014-07-02,115.25,115.91,115.25,115.75,1122200,111.14
2014-07-01,115.54,115.70,114.90,115.44,1501700,110.85
2014-06-30,115.62,116.09,115.10,115.16,1386600,110.58
2014-06-27,115.63,115.75,115.01,115.49,2477300,110.89
2014-06-26,116.24,116.50,115.28,115.64,1252100,111.04
2014-06-25,116.00,116.45,115.68,116.27,1188700,111.64
2014-06-24,115.53,116.51,115.08,116.31,1906600,111.68
2014-06-23,115.20,115.32,114.51,115.22,1501600,110.63
2014-06-20,116.65,116.65,115.09,115.36,2958000,110.77
2014-06-19,116.57,116.58,115.78,116.26,1635800,111.63
2014-06-18,115.66,116.34,115.07,116.27,2113100,111.64
2014-06-17,115.40,115.79,115.14,115.45,1505800,110.86
2014-06-16,115.32,115.46,114.95,115.43,1503100,110.84
2014-06-13,115.70,115.70,114.67,115.30,1230000,110.71
2014-06-12,116.13,116.43,115.07,115.44,1423400,110.85
2014-06-11,116.46,116.94,115.98,116.24,1117100,111.61
2014-06-10,117.37,117.73,116.90,117.10,1089100,112.44
2014-06-09,118.21,118.85,117.47,117.78,1623100,113.09
2014-06-06,117.69,118.24,117.58,118.23,1664800,113.52
2014-06-05,117.00,117.94,116.72,117.75,2614300,113.06
2014-06-04,115.29,116.49,115.27,116.31,1293000,111.68
2014-06-03,115.47,116.00,115.27,115.51,1127400,110.91
2014-06-02,115.84,116.14,115.54,115.68,1082100,111.08
2014-05-30,114.61,116.09,114.01,116.02,2622400,111.40
2014-05-29,114.58,115.19,113.51,114.14,2976700,109.60
2014-05-28,114.00,114.95,113.96,114.24,2388800,109.69
2014-05-27,115.00,115.22,113.62,113.87,2583900,109.34
2014-05-23,115.07,115.15,114.51,114.94,1100300,110.37
2014-05-22,114.53,115.00,114.40,114.73,1059900,110.16
2014-05-21,115.10,115.32,114.16,114.52,1712700,109.96
2014-05-20,115.79,116.11,114.98,115.13,2126900,110.55
2014-05-19,115.09,116.55,114.87,116.37,2212800,111.74
2014-05-16,114.58,115.82,114.36,115.61,2145300,111.01
2014-05-15,114.76,114.80,113.62,114.35,1883200,109.80
2014-05-14,115.73,116.10,114.86,115.13,1255300,110.55
2014-05-13,116.32,116.60,116.08,116.29,1229400,111.32
2014-05-12,115.78,116.91,115.58,116.51,1940500,111.53
2014-05-09,114.55,115.67,114.30,115.39,1954600,110.46
2014-05-08,113.08,114.82,112.97,114.73,2556900,109.83
2014-05-07,112.83,113.09,111.61,111.98,2950600,107.20
2014-05-06,114.28,114.49,112.77,112.83,1945300,108.01
2014-05-05,115.06,115.06,113.93,114.49,1398000,109.60
2014-05-02,116.14,116.14,115.06,115.15,1321100,110.23
2014-05-01,115.68,116.00,114.94,115.56,1168000,110.62
2014-04-30,115.04,115.76,114.76,115.68,1633800,110.74
2014-04-29,115.38,115.95,115.16,115.40,1580300,110.47
2014-04-28,115.10,116.61,115.10,115.59,3018800,110.65
2014-04-25,114.85,115.30,114.20,115.01,1721200,110.10
2014-04-24,114.90,115.31,114.14,115.03,1939300,110.11
2014-04-23,113.48,114.99,113.33,114.79,1991200,109.89
2014-04-22,114.00,114.23,113.51,113.56,2315100,108.71
2014-04-21,113.51,114.10,113.40,114.10,1826800,109.22
2014-04-17,113.52,114.03,113.12,113.50,1659000,108.65
2014-04-16,112.80,113.64,112.27,113.49,2455000,108.64
2014-04-15,112.58,112.96,111.45,112.06,2123700,107.27
2014-04-14,112.49,113.00,111.53,112.56,2519000,107.75
2014-04-11,111.44,112.78,111.40,112.08,3097800,107.29
2014-04-10,114.12,114.44,111.94,112.08,3305100,107.29
2014-04-09,112.72,113.14,112.11,113.05,2899600,108.22
2014-04-08,110.56,112.74,110.38,112.66,3863900,107.85
2014-04-07,110.73,111.13,110.36,110.79,3119400,106.06
2014-04-04,111.95,112.00,110.63,110.65,2716200,105.92
2014-04-03,111.74,112.15,111.28,111.70,2328900,106.93
2014-04-02,111.90,112.01,110.94,111.55,3296800,106.78
2014-04-01,112.21,112.55,111.51,111.86,2566200,107.08
2014-03-31,111.94,112.28,111.57,111.68,2119500,106.91
2014-03-28,112.35,112.79,111.15,111.66,2795500,106.89
2014-03-27,112.50,112.94,111.82,112.03,2039500,107.24
2014-03-26,114.28,114.47,112.46,112.49,1905900,107.68
