Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,31.57,34.389999,31.51,31.92,17060500,31.92
2015-10-15,36.650002,37.34,32.369999,32.830002,16410200,32.830002
2015-10-14,37.400002,40.16,35.950001,38.209999,21636400,38.209999
2015-10-13,34.84,37.139999,32.459999,36.689999,19819100,36.689999
2015-10-12,37.919998,38.610001,32.75,33.450001,14477200,33.450001
2015-10-09,37.799999,40.389999,37.040001,38.110001,14379100,38.110001
2015-10-08,41.950001,42.860001,37.119999,38.200001,16692400,38.200001
2015-10-07,43.299999,45.290001,41.91,42.220001,15146600,42.220001
2015-10-06,43.130001,45.779999,41.91,44.470001,14879400,44.470001
2015-10-05,46.990002,47.240002,42.889999,43.529999,12433000,43.529999
2015-10-02,58.599998,59.73,49.00,49.00,20184800,49.00
2015-10-01,56.259998,59.860001,54.650002,54.779999,13659000,54.779999
2015-09-30,56.349998,59.509998,55.060001,55.959999,15340200,55.959999
2015-09-29,60.040001,64.639999,57.009998,61.599998,21784200,61.599998
2015-09-28,57.759998,64.50,56.689999,61.50,23346400,61.50
2015-09-25,47.150002,56.439999,46.91,53.959999,20846600,53.959999
2015-09-24,53.400002,58.380001,50.509998,51.349998,24125500,51.349998
2015-09-23,51.09,52.439999,47.639999,48.75,16794700,48.75
2015-09-22,50.43,55.700001,49.00,50.939999,24744200,50.939999
2015-09-21,49.91,51.139999,45.880001,46.139999,20246500,46.139999
2015-09-18,50.799999,54.27,47.330002,52.91,23039100,52.91
2015-09-17,42.380001,44.369999,35.040001,42.25,25435100,42.25
2015-09-16,45.16,48.259998,42.610001,42.98,16622200,42.98
2015-09-15,59.00,59.950001,48.639999,48.919998,17838800,48.919998
2015-09-14,60.470001,63.599998,60.360001,60.799999,10842300,60.799999
2015-09-11,64.290001,66.480003,60.639999,60.779999,13809600,60.779999
2015-09-10,71.160004,71.860001,63.799999,63.91,21539900,63.91
2015-09-09,57.50,68.139999,57.25,67.279999,23197800,67.279999
2015-09-08,69.00,70.919998,63.889999,64.50,16660300,64.50
2015-09-04,74.980003,81.50,71.57,78.419998,22825200,78.419998
2015-09-03,64.620003,72.370003,59.00,68.440002,24577400,68.440002
2015-09-02,77.790001,84.389999,69.059998,69.290001,17571500,69.290001
2015-09-01,80.129997,91.25,76.099998,87.510002,21917200,87.510002
2015-08-31,64.559998,68.68,63.02,67.550003,17982300,67.550003
2015-08-28,61.200001,68.879997,59.32,62.959999,24976300,62.959999
2015-08-27,49.98,64.440002,49.790001,57.299999,21549600,57.299999
2015-08-26,55.419998,69.720001,53.200001,54.560001,35164700,54.560001
2015-08-25,43.200001,66.900002,42.68,66.279999,28535700,66.279999
2015-08-24,68.370003,73.690002,45.720001,57.209999,41499400,57.209999
2015-08-21,34.599998,42.25,32.68,42.220001,37922600,42.220001
2015-08-20,29.08,31.85,28.32,31.440001,22474700,31.440001
2015-08-19,26.549999,28.09,25.26,26.809999,19763100,26.809999
2015-08-18,25.450001,26.10,24.969999,25.73,8811400,25.73
2015-08-17,26.34,26.84,25.129999,25.27,9405200,25.27
2015-08-14,25.85,26.60,25.379999,25.860001,11270700,25.860001
2015-08-13,26.059999,27.139999,25.26,25.950001,13039100,25.950001
2015-08-12,29.50,30.50,26.17,26.60,20506100,26.60
2015-08-11,26.26,27.629999,25.59,26.629999,15724400,26.629999
2015-08-10,25.09,25.09,24.35,24.48,10270900,24.48
2015-08-07,26.809999,27.940001,26.07,26.41,18124300,26.41
2015-08-06,25.17,27.889999,25.10,26.91,16970100,26.91
2015-08-05,25.219999,25.82,24.34,25.10,12803300,25.10
2015-08-04,25.59,26.40,25.02,25.450001,12833300,25.450001
2015-08-03,25.860001,27.360001,25.15,25.26,17932500,25.26
2015-07-31,25.77,26.719999,25.309999,26.040001,12788000,26.040001
2015-07-30,26.66,27.76,25.92,26.15,11784900,26.15
2015-07-29,27.030001,27.389999,26.02,26.50,10864900,26.50
2015-07-28,30.26,31.889999,26.879999,27.43,18398700,27.43
2015-07-27,31.389999,33.470001,30.620001,32.150002,19755000,32.150002
2015-07-24,27.41,29.879999,26.85,29.040001,16330700,29.040001
2015-07-23,26.18,28.139999,25.879999,27.35,13072900,27.35
2015-07-22,28.34,28.389999,26.16,26.709999,10746400,26.709999
2015-07-21,27.219999,27.950001,26.879999,26.91,11149100,26.91
2015-07-20,27.559999,27.90,26.280001,27.41,12098900,27.41
2015-07-17,27.74,28.440001,27.50,27.52,8305500,27.52
2015-07-16,30.26,30.43,28.00,28.09,12893500,28.09
2015-07-15,32.259998,33.91,31.41,32.360001,13672300,32.360001
2015-07-14,33.259998,33.610001,31.25,32.509998,10380300,32.509998
2015-07-13,36.779999,37.169998,32.799999,33.189999,14883900,33.189999
2015-07-10,43.75,46.68,40.959999,41.240002,16285600,41.240002
2015-07-09,42.91,49.50,42.560001,48.900002,14370500,48.900002
2015-07-08,43.50,48.299999,42.630001,48.060001,20145300,48.060001
2015-07-07,44.619999,49.599998,40.130001,40.23,22013400,40.23
2015-07-06,46.669998,47.48,42.82,44.759998,19071300,44.759998
2015-07-02,37.77,44.00,37.50,42.59,18709800,42.59
2015-07-01,39.299999,42.060001,37.610001,37.830002,16642600,37.830002
2015-06-30,39.880001,48.060001,39.669998,43.610001,26741100,43.610001
2015-06-29,37.279999,45.25,36.240002,44.459999,26275700,44.459999
2015-06-26,33.139999,34.599998,32.740002,33.189999,10516100,33.189999
2015-06-25,32.50,33.939999,31.889999,33.490002,9276000,33.490002
2015-06-24,32.189999,33.130001,31.33,33.049999,10132900,33.049999
2015-06-23,33.25,33.330002,31.809999,31.809999,9943700,31.809999
2015-06-22,35.139999,35.650002,33.549999,33.560001,9042400,33.560001
2015-06-19,36.220001,37.32,36.080002,36.93,7740600,36.93
2015-06-18,37.549999,37.75,35.470001,36.360001,10409300,36.360001
2015-06-17,38.43,40.360001,37.740002,38.610001,9213900,38.610001
2015-06-16,41.09,41.50,38.43,38.799999,7448800,38.799999
2015-06-15,39.00,40.48,38.700001,40.310001,9901700,40.310001
2015-06-12,37.200001,38.57,36.950001,37.150002,9111100,37.150002
2015-06-11,37.060001,37.360001,35.860001,36.25,8678100,36.25
2015-06-10,40.259998,40.41,37.619999,37.900002,9179000,37.900002
2015-06-09,42.720001,43.549999,41.099998,41.490002,7796500,41.490002
2015-06-08,41.119999,43.02,40.91,42.43,6910900,42.43
2015-06-05,42.380001,43.130001,40.549999,40.73,11045300,40.73
2015-06-04,40.509998,42.66,40.150002,42.200001,10885400,42.200001
2015-06-03,40.27,40.869999,39.330002,39.560001,9151600,39.560001
2015-06-02,40.650002,41.48,39.599998,40.990002,10360400,40.990002
2015-06-01,39.549999,40.939999,38.860001,39.700001,11522100,39.700001
2015-05-29,40.150002,41.59,39.360001,40.52,12306900,40.52
2015-05-28,39.98,41.080002,39.50,39.970001,11933900,39.970001
2015-05-27,41.41,41.93,38.57,39.09,10718500,39.09
2015-05-26,40.009998,42.889999,39.650002,42.18,14957900,42.18
2015-05-22,38.799999,39.459999,38.209999,39.119999,8699100,39.119999
2015-05-21,41.720001,42.169998,38.580002,38.990002,11430200,38.990002
2015-05-20,40.959999,42.43,40.540001,41.290001,12392000,41.290001
2015-05-19,8.37,8.60,8.09,8.23,5921300,41.150002
2015-05-18,9.07,9.10,8.32,8.47,4857500,42.349999
2015-05-15,9.16,9.44,9.06,9.07,4515200,45.349999
2015-05-14,9.41,9.50,9.23,9.24,4661300,46.200001
2015-05-13,9.81,10.01,9.59,9.65,4633700,48.250001
2015-05-12,10.40,10.65,9.85,9.97,5525700,49.849999
2015-05-11,9.60,10.06,9.53,10.05,3976800,50.250001
2015-05-08,9.83,9.97,9.50,9.52,5780900,47.599999
2015-05-07,10.92,11.21,10.45,10.65,5694400,53.250001
2015-05-06,10.21,11.50,10.11,10.79,7939700,53.950002
2015-05-05,9.91,10.48,9.76,10.45,6558000,52.250001
2015-05-04,9.63,10.03,9.48,9.81,3750400,49.05
2015-05-01,10.54,10.55,9.77,9.77,5286200,48.849999
2015-04-30,10.52,11.25,10.31,10.82,6320700,54.099999
2015-04-29,10.25,10.60,9.87,10.26,5903700,51.30
2015-04-28,10.64,11.22,9.75,9.75,6061600,48.750001
2015-04-27,9.73,10.64,9.68,10.52,4583200,52.599999
2015-04-24,9.99,10.16,9.87,9.93,2563000,49.650002
2015-04-23,10.49,10.54,9.93,10.12,3652800,50.599999
2015-04-22,10.42,10.85,10.23,10.32,3326000,51.599999
2015-04-21,10.30,10.79,10.22,10.55,3676300,52.750001
2015-04-20,10.85,10.97,10.41,10.55,4007700,52.750001
2015-04-17,11.27,11.89,11.16,11.29,9153800,56.450002
2015-04-16,11.13,11.20,10.38,10.58,5009800,52.900002
2015-04-15,11.24,11.27,10.79,11.04,5202400,55.200002
2015-04-14,12.00,12.24,11.32,11.55,6398800,57.750001
2015-04-13,10.90,12.00,10.68,11.79,9180400,58.950002
2015-04-10,12.08,12.12,11.19,11.22,6332900,56.099999
2015-04-09,13.080001,13.380001,12.27,12.32,8021000,61.599999
2015-04-08,13.560001,13.75,13.14,13.19,7965200,65.949998
2015-04-07,13.60,13.75,13.310001,13.72,5053600,68.599999
2015-04-06,14.730001,14.84,13.560001,13.810001,6981800,69.050004
2015-04-02,14.80,14.980001,14.34,14.410001,3880400,72.050004
2015-04-01,15.10,16.010001,14.29,15.00,5814600,75.000001
2015-03-31,14.45,19.12,14.360001,15.05,2585800,75.250001
2015-03-30,14.530001,14.62,14.180001,14.310001,4157600,71.550004
2015-03-27,15.630001,15.730001,15.12,15.24,4215200,76.199998
2015-03-26,16.50,16.830001,15.430001,15.630001,7624500,78.150003
2015-03-25,14.430001,15.92,14.25,15.82,7033600,79.10
2015-03-24,14.74,14.92,14.00,14.54,4939500,72.699998
2015-03-23,15.010001,15.05,14.35,14.70,3831900,73.500001
2015-03-20,15.360001,15.580001,14.32,15.260001,6046600,76.300004
2015-03-19,16.22,16.55,15.64,15.72,3451900,78.60
2015-03-18,17.42,17.710001,15.480001,15.70,5937300,78.500001
2015-03-17,17.880001,18.15,17.110001,17.230001,3637100,86.150003
2015-03-16,17.780001,17.90,17.05,17.40,4037500,87.000001
2015-03-13,17.64,19.180001,17.45,18.230001,5678800,91.150003
2015-03-12,19.130001,19.19,17.42,17.50,4540600,87.500001
2015-03-11,19.02,20.15,18.92,19.82,5285900,99.10
2015-03-10,18.82,19.45,18.59,18.92,6505900,94.60
2015-03-09,18.10,18.360001,17.49,17.84,3973500,89.199998
2015-03-06,17.35,18.54,16.87,18.380001,7680600,91.900003
2015-03-05,17.07,17.60,16.810001,16.87,4911300,84.35
2015-03-04,17.90,18.65,17.25,17.32,4702800,86.60
2015-03-03,17.010001,18.260001,16.84,17.360001,5346400,86.800004
2015-03-02,17.69,17.830001,16.65,16.680001,4423900,83.400003
2015-02-27,18.04,18.37,17.32,17.84,5044000,89.199998
2015-02-26,18.380001,19.10,17.59,18.05,5210900,90.250001
2015-02-25,18.34,18.89,16.860001,18.49,5166100,92.449998
2015-02-24,19.80,19.85,18.080001,18.280001,4176200,91.400003
2015-02-23,20.230001,20.47,19.77,19.95,2402500,99.750001
2015-02-20,22.180001,22.45,19.50,19.810001,4995000,99.050005
2015-02-19,22.780001,22.87,21.310001,21.37,2843900,106.85
2015-02-18,23.25,23.34,22.130001,22.330001,3254800,111.650003
2015-02-17,23.00,23.360001,22.360001,22.680001,3011800,113.400003
2015-02-13,22.95,23.82,22.35,22.57,4176100,112.85
2015-02-12,25.07,25.360001,23.00,23.180001,4594700,115.900003
2015-02-11,26.510001,27.229999,26.110001,26.260001,3567100,131.300005
2015-02-10,26.810001,27.90,25.679999,26.029999,4085100,130.149996
2015-02-09,28.90,29.35,27.910001,28.160001,4738900,140.800005
2015-02-06,25.010001,28.979999,24.680001,27.80,6399400,139.000002
2015-02-05,27.079999,27.10,25.29,25.610001,3850000,128.050005
2015-02-04,26.99,28.029999,25.44,27.779999,5102900,138.899996
2015-02-03,28.079999,28.579999,26.129999,26.320002,4206400,131.600008
2015-02-02,30.39,33.320002,29.029999,29.029999,6478300,145.149996
2015-01-30,28.660001,32.710001,27.59,32.360001,7061600,161.800005
2015-01-29,29.09,31.170002,26.679999,27.129999,4995100,135.649996
2015-01-28,23.89,29.710001,23.85,29.20,6766700,146.000002
2015-01-27,25.35,25.829999,23.65,25.080001,4959300,125.400003
2015-01-26,24.95,25.95,23.10,23.12,3429700,115.60
2015-01-23,24.87,25.620002,23.480001,25.37,2734700,126.85
2015-01-22,26.179999,28.260001,24.12,24.22,4044700,121.10
2015-01-21,31.45,32.210001,27.70,27.779999,4197900,138.899996
2015-01-20,29.429999,32.79,29.30,30.69,3681400,153.449999
2015-01-16,32.70,34.009998,30.54,31.220002,4060600,156.100008
2015-01-15,30.079999,32.779999,29.19,32.599997,5092700,162.999987
2015-01-14,32.50,33.00,30.470002,30.770002,4741500,153.850008
2015-01-13,26.70,31.15,26.020002,29.65,5512300,148.250002
2015-01-12,26.00,29.360001,25.810001,27.99,4019800,139.949999
2015-01-09,23.260001,26.020002,23.24,25.57,3815100,127.85
2015-01-08,25.180001,25.360001,23.560001,23.880001,3004100,119.400003
2015-01-07,27.420002,28.70,26.470002,27.229999,3572800,136.149996
2015-01-06,27.59,31.20,26.85,29.070002,5430500,145.350008
2015-01-05,25.679999,28.670002,25.45,27.829999,4255400,139.149996
2015-01-02,23.44,27.220002,22.910001,24.330001,4133700,121.650003
2014-12-31,21.50,25.95,21.35,25.15,2852000,125.750002
