Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,19.559999,20.450001,19.540001,19.690001,64177600,19.690001
2015-10-15,21.01,21.190001,19.790001,19.92,59612100,19.92
2015-10-14,21.24,21.99,20.809999,21.41,61034700,21.41
2015-10-13,20.41,21.120001,19.690001,21.00,62425400,21.00
2015-10-12,21.209999,21.42,19.77,19.99,47714600,19.99
2015-10-09,21.200001,21.92,20.969999,21.290001,47998000,21.290001
2015-10-08,22.290001,22.549999,21.00,21.299999,64275300,21.299999
2015-10-07,22.60,23.139999,22.280001,22.34,51846900,22.34
2015-10-06,22.58,23.27,22.25,22.889999,47862300,22.889999
2015-10-05,23.530001,23.60,22.50,22.65,49945900,22.65
2015-10-02,26.280001,26.530001,24.00,24.030001,76177000,24.030001
2015-10-01,25.68,26.50,25.32,25.34,60002800,25.34
2015-09-30,25.709999,26.41,25.440001,25.629999,59428300,25.629999
2015-09-29,26.530001,27.540001,25.870001,26.889999,83793800,26.889999
2015-09-28,25.969999,27.540001,25.73,26.84,88474000,26.84
2015-09-25,23.469999,25.68,23.450001,25.09,81986200,25.09
2015-09-24,24.950001,26.190001,24.27,24.48,87838100,24.48
2015-09-23,24.379999,24.709999,23.58,23.809999,61359700,23.809999
2015-09-22,24.190001,25.57,23.83,24.35,99808600,24.35
2015-09-21,23.92,24.209999,22.959999,23.049999,73998800,23.049999
2015-09-18,24.110001,24.99,23.26,24.65,88323800,24.65
2015-09-17,21.98,22.50,20.040001,21.969999,125180600,21.969999
2015-09-16,22.620001,23.360001,22.01,22.09,55198300,22.09
2015-09-15,25.690001,25.879999,23.42,23.50,64388600,23.50
2015-09-14,25.969999,26.65,25.959999,26.07,39563000,26.07
2015-09-11,26.77,27.24,26.02,26.059999,55359700,26.059999
2015-09-10,28.17,28.309999,26.65,26.65,81393800,26.65
2015-09-09,25.309999,27.559999,25.26,27.35,89384800,27.35
2015-09-08,27.60,27.969999,26.66,26.76,66976800,26.76
2015-09-04,28.620001,29.98,27.969999,29.32,94721200,29.32
2015-09-03,26.620001,28.120001,25.459999,27.32,71206900,27.32
2015-09-02,29.01,30.17,27.459999,27.48,101645000,27.48
2015-09-01,29.290001,31.48,28.52,30.76,133756200,30.76
2015-08-31,26.190001,27.059999,25.879999,26.83,74173600,26.83
2015-08-28,25.50,27.110001,25.110001,25.860001,121741000,25.860001
2015-08-27,23.120001,26.200001,23.059999,24.67,92009300,24.67
2015-08-26,24.32,27.17,23.85,24.120001,140538500,24.120001
2015-08-25,21.82,26.639999,21.719999,26.51,127153900,26.51
2015-08-24,27.15,28.219999,21.559999,24.389999,262660600,24.389999
2015-08-21,18.620001,20.73,18.07,20.709999,207662500,20.709999
2015-08-20,16.99,17.82,16.77,17.65,103230100,17.65
2015-08-19,16.200001,16.690001,15.81,16.290001,86484700,16.290001
2015-08-18,15.87,16.08,15.71,15.98,36202100,15.98
2015-08-17,16.16,16.34,15.77,15.81,40519000,15.81
2015-08-14,16.00,16.24,15.85,16.00,35396800,16.00
2015-08-13,16.07,16.40,15.79,16.030001,47736700,16.030001
2015-08-12,17.10,17.41,16.08,16.23,83111500,16.23
2015-08-11,16.129999,16.559999,15.91,16.219999,60487700,16.219999
2015-08-10,15.74,15.74,15.51,15.54,35177300,15.54
2015-08-07,16.24,16.610001,16.030001,16.129999,48302500,16.129999
2015-08-06,15.75,16.60,15.73,16.280001,53829900,16.280001
2015-08-05,15.79,15.95,15.48,15.72,40076400,15.72
2015-08-04,15.89,16.139999,15.70,15.83,45162200,15.83
2015-08-03,15.97,16.450001,15.74,15.78,51199500,15.78
2015-07-31,15.94,16.25,15.79,16.02,42322800,16.02
2015-07-30,16.219999,16.57,15.98,16.049999,41399700,16.049999
2015-07-29,16.35,16.440001,16.01,16.17,57698900,16.17
2015-07-28,17.219999,17.67,16.280001,16.49,65458900,16.49
2015-07-27,17.52,18.120001,17.280001,17.719999,69793900,17.719999
2015-07-24,16.35,17.09,16.18,16.85,58343400,16.85
2015-07-23,15.98,16.57,15.89,16.299999,59310000,16.299999
2015-07-22,16.629999,16.65,15.97,16.120001,45440200,16.120001
2015-07-21,16.26,16.49,16.17,16.200001,39245700,16.200001
2015-07-20,16.370001,16.48,15.99,16.35,38882200,16.35
2015-07-17,16.42,16.639999,16.370001,16.389999,37346900,16.389999
2015-07-16,17.120001,17.17,16.50,16.530001,58863500,16.530001
2015-07-15,17.68,18.129999,17.440001,17.700001,44067100,17.700001
2015-07-14,17.950001,18.040001,17.389999,17.75,36641800,17.75
2015-07-13,18.75,18.870001,17.82,17.91,54089000,17.91
2015-07-10,20.389999,21.030001,19.77,19.85,63562100,19.85
2015-07-09,20.18,21.639999,20.10,21.51,67928600,21.51
2015-07-08,20.219999,21.389999,20.01,21.35,90217600,21.35
2015-07-07,20.42,21.58,19.40,19.40,96107200,19.40
2015-07-06,20.91,21.10,20.01,20.469999,68979100,20.469999
2015-07-02,18.780001,20.32,18.700001,19.969999,78735100,19.969999
2015-07-01,19.09,19.76,18.73,18.780001,66669300,18.780001
2015-06-30,19.25,21.110001,19.200001,20.139999,112990900,20.139999
2015-06-29,18.440001,20.50,18.16,20.27,124782500,20.27
2015-06-26,17.370001,17.74,17.25,17.35,43716100,17.35
2015-06-25,17.18,17.57,17.02,17.459999,41630500,17.459999
2015-06-24,17.09,17.35,16.85,17.299999,44697400,17.299999
2015-06-23,17.35,17.379999,16.98,16.99,35588900,16.99
2015-06-22,17.82,17.950001,17.42,17.450001,38883000,17.450001
2015-06-19,18.08,18.35,18.02,18.27,38608200,18.27
2015-06-18,18.370001,18.43,17.870001,18.09,48612300,18.09
2015-06-17,18.59,19.059999,18.42,18.629999,45459600,18.629999
2015-06-16,19.190001,19.299999,18.57,18.690001,44293300,18.690001
2015-06-15,18.700001,19.059999,18.620001,19.030001,55095800,19.030001
2015-06-12,18.26,18.60,18.190001,18.25,42864200,18.25
2015-06-11,18.209999,18.299999,17.92,18.00,37102200,18.00
2015-06-10,18.959999,19.00,18.360001,18.43,40874600,18.43
2015-06-09,19.549999,19.73,19.15,19.25,37736400,19.25
2015-06-08,19.16,19.620001,19.120001,19.469999,32837800,19.469999
2015-06-05,19.450001,19.620001,19.030001,19.10,39202500,19.10
2015-06-04,19.040001,19.530001,18.93,19.41,50404400,19.41
2015-06-03,18.950001,19.09,18.73,18.790001,35671700,18.790001
2015-06-02,19.040001,19.23,18.780001,19.120001,38277400,19.120001
2015-06-01,18.780001,19.120001,18.610001,18.84,36922200,18.84
2015-05-29,18.92,19.26,18.73,19.02,43601500,19.02
2015-05-28,18.90,19.16,18.77,18.879999,35774100,18.879999
2015-05-27,19.219999,19.35,18.549999,18.690001,39881800,18.690001
2015-05-26,18.879999,19.58,18.809999,19.389999,52914400,19.389999
2015-05-22,18.60,18.77,18.450001,18.68,28444900,18.68
2015-05-21,19.280001,19.370001,18.530001,18.65,32953900,18.65
2015-05-20,19.10,19.440001,18.99,19.18,37180000,19.18
2015-05-19,19.299999,19.559999,18.98,19.139999,35707200,19.139999
2015-05-18,20.049999,20.10,19.24,19.42,36336600,19.42
2015-05-15,20.17,20.48,20.049999,20.059999,31025700,20.059999
2015-05-14,20.43,20.540001,20.24,20.26,27135400,20.26
2015-05-13,20.85,21.08,20.629999,20.67,34173300,20.67
2015-05-12,21.469999,21.75,20.90,21.049999,38633400,21.049999
2015-05-11,20.620001,21.15,20.57,21.120001,29071700,21.120001
2015-05-08,20.85,21.00,20.50,20.610001,42789300,20.610001
2015-05-07,21.959999,22.27,21.50,21.700001,36000000,21.700001
2015-05-06,21.25,22.58,21.15,21.860001,49752700,21.860001
2015-05-05,20.91,21.530001,20.77,21.469999,45376400,21.469999
2015-05-04,20.629999,21.059999,20.48,20.82,28745400,20.82
2015-05-01,21.540001,21.57,20.77,20.809999,39174300,20.809999
2015-04-30,21.549999,22.290001,21.299999,21.84,47120700,21.84
2015-04-29,21.23,21.620001,20.84,21.24,48824700,21.24
2015-04-28,21.629999,22.219999,20.73,20.77,41961500,20.77
2015-04-27,20.690001,21.639999,20.620001,21.450001,38931600,21.450001
2015-04-24,20.959999,21.139999,20.809999,20.889999,21226500,20.889999
2015-04-23,21.41,21.52,20.90,21.10,26599100,21.10
2015-04-22,21.42,21.84,21.190001,21.299999,27597500,21.299999
2015-04-21,21.27,21.780001,21.190001,21.530001,27560300,21.530001
2015-04-20,21.82,21.950001,21.379999,21.540001,30696700,21.540001
2015-04-17,22.219999,22.860001,22.110001,22.290001,67046400,22.290001
2015-04-16,22.059999,22.15,21.309999,21.52,42888300,21.52
2015-04-15,22.139999,22.200001,21.73,21.98,35946200,21.98
2015-04-14,22.940001,23.120001,22.25,22.469999,36952900,22.469999
2015-04-13,21.82,22.90,21.610001,22.66,52058600,22.66
2015-04-10,22.940001,22.99,22.10,22.129999,49145300,22.129999
2015-04-09,23.870001,24.139999,23.120001,23.139999,36233100,23.139999
2015-04-08,24.299999,24.459999,23.92,23.969999,36733500,23.969999
2015-04-07,24.35,24.469999,24.07,24.450001,29010700,24.450001
2015-04-06,25.309999,25.41,24.299999,24.530001,33291500,24.530001
2015-04-02,25.379999,25.52,24.969999,25.059999,33340500,25.059999
2015-04-01,25.610001,26.379999,25.52,25.52,43230600,25.52
2015-03-31,25.059999,26.98,24.50,25.629999,21389800,25.629999
2015-03-30,25.110001,25.190001,24.82,24.959999,28700500,24.959999
2015-03-27,26.030001,26.120001,25.620001,25.74,30207600,25.74
2015-03-26,26.77,27.040001,25.870001,26.049999,57864800,26.049999
2015-03-25,25.030001,26.299999,24.879999,26.27,53903600,26.27
2015-03-24,25.280001,25.440001,24.66,25.15,37679100,25.15
2015-03-23,25.52,25.559999,24.959999,25.24,32181900,25.24
2015-03-20,25.809999,25.99,24.940001,25.73,59607100,25.73
2015-03-19,26.50,26.809999,26.040001,26.129999,37961000,26.129999
2015-03-18,27.469999,27.68,25.879999,26.129999,59280100,26.129999
2015-03-17,27.82,28.02,27.200001,27.299999,34852700,27.299999
2015-03-16,27.74,27.82,27.15,27.41,34533500,27.41
2015-03-13,27.58,28.83,27.440001,28.10,55529600,28.10
2015-03-12,28.690001,28.74,27.40,27.48,44704100,27.48
2015-03-11,28.59,29.440001,28.51,29.23,40551000,29.23
2015-03-10,28.43,28.91,28.24,28.51,47857600,28.51
2015-03-09,27.860001,28.07,27.389999,27.66,43262800,27.66
2015-03-06,27.26,28.200001,26.870001,28.030001,61346700,28.030001
2015-03-05,27.00,27.43,26.82,26.879999,31308900,26.879999
2015-03-04,27.66,28.26,27.139999,27.219999,37953300,27.219999
2015-03-03,26.950001,27.98,26.83,27.280001,45330800,27.280001
2015-03-02,27.469999,27.58,26.67,26.700001,36624700,26.700001
2015-02-27,27.73,27.99,27.18,27.620001,39539500,27.620001
2015-02-26,28.00,28.57,27.40,27.780001,44805200,27.780001
2015-02-25,27.98,28.40,26.83,28.10,46419500,28.10
2015-02-24,29.02,29.07,27.77,27.959999,38814900,27.959999
2015-02-23,29.32,29.530001,29.01,29.139999,25738600,29.139999
2015-02-20,30.68,30.879999,28.799999,29.049999,42922900,29.049999
2015-02-19,31.110001,31.16,30.049999,30.120001,30286200,30.120001
2015-02-18,31.389999,31.469999,30.629999,30.809999,31090600,30.809999
2015-02-17,31.219999,31.49,30.790001,31.049999,25849400,31.049999
2015-02-13,31.190001,31.790001,30.799999,30.969999,40043000,30.969999
2015-02-12,32.560001,32.720001,31.200001,31.35,39771800,31.35
2015-02-11,33.48,33.959999,33.23,33.310001,34470700,33.310001
2015-02-10,33.66,34.32,32.970001,33.150002,34263800,33.150002
2015-02-09,34.919998,35.220001,34.32,34.470001,35251200,34.470001
2015-02-06,32.509998,35.029999,32.290001,34.299999,51896300,34.299999
2015-02-05,33.759998,33.799999,32.68,32.91,31813300,32.91
