Date,Open,High,Low,Close,Volume,Adj Close
2015-04-10,43.01,43.92,42.97,43.83,3541800,43.83
2015-04-09,42.17,43.38,41.79,43.33,4210400,43.33
2015-04-08,42.40,42.83,42.25,42.55,1705500,42.55
2015-04-07,42.02,42.56,41.81,42.33,2116700,42.33
2015-04-06,41.69,42.39,41.50,41.99,3107000,41.99
2015-04-02,41.98,42.39,41.72,42.06,3455800,42.06
2015-04-01,42.42,42.50,41.63,41.85,3641200,41.85
2015-03-31,42.56,42.56,41.82,42.30,5002600,42.30
2015-03-30,41.56,43.39,40.99,42.68,12941200,42.68
2015-03-27,40.17,42.67,39.61,42.32,8115800,42.32
2015-03-26,39.31,40.20,39.27,39.98,3863200,39.98
2015-03-25,41.11,41.15,39.77,39.83,4261400,39.83
2015-03-24,41.44,41.61,41.06,41.11,2470700,41.11
2015-03-23,42.25,42.25,41.45,41.46,2560300,41.46
2015-03-20,42.08,42.35,41.84,42.27,5569600,42.27
2015-03-19,41.31,41.83,41.21,41.80,3476000,41.80
2015-03-18,40.79,41.73,40.57,41.60,2952000,41.60
2015-03-17,41.23,41.29,40.63,40.98,3054500,40.98
2015-03-16,40.33,41.51,40.33,41.41,5226600,41.41
2015-03-13,40.11,40.40,39.48,39.76,3848600,39.76
2015-03-12,39.84,40.33,39.50,40.30,3198100,40.30
2015-03-11,39.89,40.05,39.35,39.71,4768200,39.71
2015-03-10,40.56,40.74,39.64,39.67,5100200,39.67
2015-03-09,40.64,41.19,40.58,40.65,3724400,40.65
2015-03-06,41.06,41.24,40.47,40.58,3072400,40.58
2015-03-05,41.12,41.72,41.05,41.38,3522000,41.38
2015-03-04,41.47,41.84,40.78,41.05,5350700,41.05
2015-03-03,41.79,42.11,41.50,41.61,3436700,41.61
2015-03-02,42.30,42.76,41.87,42.11,4204800,42.11
2015-02-27,41.93,42.45,41.83,42.37,2808800,42.37
2015-02-26,42.22,42.35,41.73,41.83,2157700,41.83
2015-02-25,42.21,42.39,41.93,42.05,1694100,42.05
2015-02-24,41.33,42.53,41.17,42.48,3632500,42.48
2015-02-23,41.68,41.72,41.07,41.29,1501300,41.29
2015-02-20,41.44,41.77,41.19,41.68,2106200,41.68
2015-02-19,41.71,41.71,41.49,41.61,1670000,41.61
2015-02-18,41.78,41.87,41.44,41.66,2574400,41.66
2015-02-17,41.49,41.93,41.29,41.93,3332000,41.93
2015-02-13,40.98,41.57,40.85,41.51,3406200,41.51
2015-02-12,40.06,41.02,39.97,41.00,3353600,41.00
2015-02-11,40.01,40.15,39.74,39.93,2229700,39.93
2015-02-10,39.81,40.19,39.47,40.16,2013100,40.16
2015-02-09,39.35,39.64,39.23,39.51,2769500,39.51
2015-02-06,39.76,40.00,39.29,39.40,2790500,39.40
2015-02-05,39.87,39.99,39.14,39.57,3578400,39.57
2015-02-04,39.26,40.13,38.99,39.84,3895000,39.84
2015-02-03,38.64,39.53,38.64,39.31,2861400,39.31
2015-02-02,38.33,38.91,38.07,38.83,4665900,38.83
2015-01-30,38.57,39.06,38.53,38.58,4492900,38.29
2015-01-29,38.75,39.37,38.51,38.99,3015400,38.70
2015-01-28,39.55,40.04,38.76,38.77,4501100,38.48
2015-01-27,38.57,39.57,38.57,39.45,4732400,39.15
2015-01-26,38.37,39.26,38.37,38.99,4154500,38.70
2015-01-23,38.90,39.41,38.79,39.28,4296200,38.98
2015-01-22,38.11,39.84,37.20,38.96,20467400,38.67
2015-01-21,40.81,41.63,40.78,41.51,5524900,41.20
2015-01-20,41.45,41.86,40.98,41.06,3823400,40.75
2015-01-16,40.74,41.37,40.48,41.22,4244800,40.91
2015-01-15,41.40,41.94,40.96,41.04,4180600,40.73
2015-01-14,40.26,41.58,40.04,41.37,6150600,41.06
2015-01-13,42.86,43.27,41.39,41.85,4836200,41.54
2015-01-12,43.10,43.18,42.25,42.47,2560400,42.15
2015-01-09,43.15,43.35,42.72,43.10,1452100,42.78
2015-01-08,42.50,43.34,42.45,43.14,2824200,42.82
2015-01-07,42.49,42.62,42.07,42.20,2110600,41.88
2015-01-06,42.83,42.92,41.97,42.18,3430500,41.86
