Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 22.925, -0.075,-0.33, 3308171, -.1,
ADBE, Adobe Systems Incorporated, 76.53, 0.2,0.26, 1800168, .1,
AKAM, Akamai Technologies Inc., 71.45, 0.19,0.27, 705594, .0,
ALXN, Alexion Pharmaceuticals Inc., 182.68, 5.31,2.99, 1339477, .9,
ALTR, Altera Corporation, 44.52, 1.19,2.75, 16550995, .3,
AMZN, Amazon.com Inc., 382.65, -0.89,-0.23, 2573222, -.4,
AAL, American Airlines Group Inc., 47.73, -0.11,-0.23, 11708956, .0,
AMGN, Amgen Inc., 163.38, 1.89,1.17, 2406797, 1.2,
ADI, Analog Devices Inc., 64.235, 0.205,0.32, 1273193, .1,
AAPL, Apple Inc., 127.1, 0.54,0.43, 40178105, .4,
AMAT, Applied Materials Inc., 22.5, -0.01,-0.04, 12041233, .0,
ADSK, Autodesk Inc., 62.74, -0.07,-0.11, 961278, .0,
ADP, Automatic Data Processing Inc., 86.34, -0.26,-0.3, 1856677, -.1,
AVGO, Avago Technologies Limited, 126.82, -0.4,-0.31, 1166468, -.1,
BIDU, Baidu Inc., 214.79, -3.685,-1.69, 3098254, -.9,
BBBY, Bed Bath &amp; Beyond Inc., 73.43, -0.03,-0.04, 2590370, .0,
BIIB, Biogen Inc., 425.65, -0.98,-0.23, 1062918, -.2,
BRCM, Broadcom Corporation, 44.23, 0.27,0.61, 5555774, .1,
CHRW, C.H. Robinson Worldwide Inc., 72.06, 0.42,0.59, 1038825, .1,
CA, CA Inc., 31.545, 0.105,0.33, 3220271, .0,
CTRX, Catamaran Corporation, 59.61, 0.3,0.51, 4509649, .1,
CELG, Celgene Corporation, 117.07, 1.49,1.29, 4504526, .5,
CERN, Cerner Corporation, 75, 0.62,0.83, 1615629, .2,
CHTR, Charter Communications Inc., 191.81, 0.88,0.46, 380569, .1,
CHKP, Check Point Software Technologies Ltd., 84.925, -0.215,-0.25, 1104240, .0,
CSCO, Cisco Systems Inc., 28.04, 0.415,1.5, 24630598, 1.9,
CTXS, Citrix Systems Inc., 63.8, -0.855,-1.32, 8690968, -.1,
CTSH, Cognizant Technology Solutions Corporation, 62.8, -0.36,-0.57, 2220896, -.2,
CMCSA, Comcast Corporation, 59.81, 0.22,0.37, 15895907, .4,
CMCSK, Comcast Corporation, 59.53, 0.39,0.66, 3061882, .0,
COST, Costco Wholesale Corporation, 149.635, 0.825,0.55, 1571520, .3,
DTV, DIRECTV, 87.32, -0.04,-0.05, 1978010, .0,
DISCA, Discovery Communications Inc., 33.04, -0.17,-0.51, 2254621, .0,
DISCK, Discovery Communications Inc., 31.82, -0.27,-0.84, 1932032, .0,
DISH, DISH Network Corporation, 71.83, 0.215,0.3, 500656, .0,
DLTR, Dollar Tree Inc., 82.87, 0.12,0.15, 1275435, .0,
EBAY, eBay Inc., 57.34, 0.33,0.58, 5092224, .4,
EA, Electronic Arts Inc., 58.355, 0.855,1.49, 2546126, .0,
EXPD, Expeditors International of Washington Inc., 46.87, 0.23,0.49, 653523, .0,
ESRX, Express Scripts Holding Company, 88.85, 0.38,0.43, 4467933, .3,
FB, Facebook Inc., 82.04, -0.13,-0.16, 12528573, -.2,
FAST, Fastenal Company, 40.01, -0.37,-0.92, 4110193, -.1,
FISV, Fiserv Inc., 79.055, -0.955,-1.19, 1445497, -.2,
GRMN, Garmin Ltd., 46.66, 0.07,0.15, 1202622, .0,
GILD, Gilead Sciences Inc., 101.77, 0.61,0.6, 9256762, .8,
GOOG, Google Inc., 540.01, -0.77,-0.14, 1405332, -.2,
GOOGL, Google Inc., 548.54, 0.52,0.09, 1304977, .0,
HSIC, Henry Schein Inc., 141.855, 0.055,0.04, 496134, .0,
ILMN, Illumina Inc., 188.16, 1.82,0.98, 541645, .2,
INTC, Intel Corporation, 31.93, 0.69,2.21, 28080868, 3.0,
INTU, Intuit Inc., 98.89, 0.965,0.99, 1666080, .2,
ISRG, Intuitive Surgical Inc., 530.36, 17.27,3.37, 473143, .6,
GMCR, Keurig Green Mountain Inc., 116.54, -1.9,-1.6, 748158, -.3,
KLAC, KLA-Tencor Corporation, 59.12, 0.18,0.31, 1195667, .0,
KRFT, Kraft Foods Group Inc., 89.27, -0.13,-0.15, 3731868, -.1,
LRCX, Lam Research Corporation, 73.1, -0.055,-0.08, 1196359, .0,
LBTYA, Liberty Global plc, 52.55, 0.53,1.02, 1109761, .1,
LBTYK, Liberty Global plc, 50.49, 0.44,0.88, 1972053, .0,
LVNTA, Liberty Interactive Corporation, 42.62, 0.53,1.26, 217061, .0,
QVCA, Liberty Interactive Corporation, 29.4, -0.15,-0.51, 777221, .0,
LMCA, Liberty Media Corporation, 39.39, 0.02,0.05, 345533, .0,
LMCK, Liberty Media Corporation, 39.06, 0.05,0.13, 251617, .0,
LLTC, Linear Technology Corporation, 46.495, 0.145,0.31, 1591100, .0,
MAR, Marriott International, 80.32, 0.095,0.12, 850412, .0,
MAT, Mattel Inc., 24.23, -0.04,-0.16, 3802920, .0,
MU, Micron Technology Inc., 28.02, 0.205,0.74, 19688824, .2,
MSFT, Microsoft Corporation, 41.72, 0.24,0.58, 27987593, 1.7,
MDLZ, Mondelez International Inc., 37.4, 0.025,0.07, 7324300, .0,
MNST, Monster Beverage Corporation, 138.34, 0.74,0.54, 605847, .1,
MYL, Mylan N.V., 70.24, 0.145,0.21, 10947045, .1,
NTAP, NetApp Inc., 35.47, -0.27,-0.76, 4164273, -.1,
NFLX, Netflix Inc., 454.57, 15.07,3.43, 3193884, .8,
NVDA, NVIDIA Corporation, 22.76, 0.235,1.04, 6461192, .1,
NXPI, NXP Semiconductors N.V., 101.34, -0.76,-0.74, 1465261, -.2,
ORLY, O'Reilly Automotive Inc., 220.015, 1.495,0.68, 363803, .1,
PCAR, PACCAR Inc., 63.235, 0.045,0.07, 1125809, .0,
PAYX, Paychex Inc., 49.28, -0.11,-0.22, 1374899, .0,
QCOM, QUALCOMM Incorporated, 69.16, 0.35,0.51, 10432374, .5,
REGN, Regeneron Pharmaceuticals Inc., 461.39, 6.35,1.4, 587807, .5,
ROST, Ross Stores Inc., 103.455, -0.225,-0.22, 1089667, .0,
SNDK, SanDisk Corporation, 70.68, 0.27,0.38, 3340562, .1,
SBAC, SBA Communications Corporation, 117.67, -0.815,-0.69, 572953, -.1,
STX, Seagate Technology., 55.58, 0.89,1.63, 3722917, .3,
SIAL, Sigma-Aldrich Corporation, 138.45, -0.09,-0.06, 841966, .0,
SIRI, Sirius XM Holdings Inc., 3.945, 0.015,0.38, 23620995, .1,
SPLS, Staples Inc., 16.72, 0.32,1.95, 9456195, .2,
